sourcedId,status,dateLastModified,enabledUser,orgSourcedIds,role,username,givenName,familyName,middleName,identifier,email,phone,agentSourcedIds,grades
onr-7001,active,2026-08-15T09:12:00Z,true,org-eastlake,student,d.arkwright,Delphine,Arkwright,Marie,OR-S7001,d.arkwright@example.org,555-0401,grd-7001,03
onr-7002,active,2026-08-15T09:12:00Z,true,org-eastlake,student,b.sorensen,Bastian,Sorensen,,OR-S7002,b.sorensen@example.org,555-0402,grd-7002,03
onr-7003,active,2026-08-15T09:12:00Z,true,org-eastlake,student,n.achterberg,Noor,Achterberg,,OR-S7003,n.achterberg@example.org,555-0403,grd-7003,04
onr-7004,active,2026-08-15T09:12:00Z,true,org-eastlake,student,l.moctezuma,Luz,Moctezuma,Elena,OR-S7004,l.moctezuma@example.org,555-0404,grd-7004,04
onr-7005,active,2026-08-15T09:12:00Z,true,org-eastlake,student,t.underhill,Tobias,Underhill,,OR-S7005,t.underhill@example.org,555-0405,grd-7005,05
onr-7006,active,2026-08-15T09:12:00Z,true,org-eastlake,student,a.kirilenko,Anya,Kirilenko,,OR-S7006,a.kirilenko@example.org,555-0406,grd-7006,05
onr-7007,active,2026-08-15T09:12:00Z,true,org-brightwater,student,m.oyelowo,Malachi,Oyelowo,,OR-S7007,m.oyelowo@example.org,555-0407,grd-7007,06
onr-7008,active,2026-08-15T09:12:00Z,true,org-brightwater,student,f.dellarosa,Fiora,Dellarosa,,OR-S7008,f.dellarosa@example.org,555-0408,grd-7008,07
onr-7009,active,2026-08-15T09:12:00Z,true,org-brightwater,student,y.tesfaye,Yonas,Tesfaye,,OR-S7009,y.tesfaye@example.org,555-0409,grd-7009,07
onr-7010,active,2026-08-15T09:12:00Z,true,org-brightwater,student,c.lindqvist,Cilla,Lindqvist,,OR-S7010,c.lindqvist@example.org,555-0410,grd-7010,08
onr-7011,active,2026-08-15T09:12:00Z,true,org-brightwater,student,j.abernathy,Jonah,Abernathy,,OR-S7011,j.abernathy@example.org,555-0411,grd-7011,08
onr-7012,active,2026-08-15T09:12:00Z,true,org-brightwater,student,p.nakamura,Perri,Nakamura,,OR-S7012,p.nakamura@example.org,555-0412,grd-7012,08
onr-9001,active,2026-08-15T09:12:00Z,true,org-eastlake,teacher,r.halloran,Rosalie,Halloran,,OR-T9001,r.halloran@example.org,555-0501,,
onr-9002,active,2026-08-15T09:12:00Z,true,org-brightwater,teacher,d.stavros,Demetrios,Stavros,,OR-T9002,d.stavros@example.org,555-0502,,
onr-9003,active,2026-08-15T09:12:00Z,true,org-brightwater,administrator,i.castellanos,Imani,Castellanos,,OR-T9003,i.castellanos@example.org,555-0503,,
